                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.13962,                0.86466,                0.90059,                   0.66,                0.91536,                  0.995,                0.98213,                0.27053,                 1.1898,                0.42317,               0.001486,               0.001486,               0.001486
                     88,                0.11758,                0.78851,                0.91134,                0.64325,                 0.9795,                  0.995,                0.98212,                 0.2734,                 1.1262,                0.42293,               0.001387,               0.001387,               0.001387
                     89,                 0.1224,                0.75639,                0.90388,                0.69122,                0.97584,                  0.995,                0.97753,                0.27477,                 1.0337,                0.42324,               0.001288,               0.001288,               0.001288
                     90,                0.12072,                0.72832,                0.92692,                0.91148,                0.93465,                  0.995,                0.97176,                 0.2871,                 0.8485,                0.42542,               0.001189,               0.001189,               0.001189
                     91,                0.14037,                0.80476,                 0.9265,                0.91429,                0.97251,                  0.995,                0.97685,                0.27134,                0.78784,                 0.4027,                0.00109,                0.00109,                0.00109
                     92,                0.11342,                0.72218,                0.91849,                0.91876,                 0.9709,                  0.995,                0.98054,                0.25226,                0.77118,                0.38368,               0.000991,               0.000991,               0.000991
                     93,                0.10178,                0.73134,                0.91692,                0.94893,                0.99237,                  0.995,                0.98053,                0.23775,                0.72307,                0.36891,               0.000892,               0.000892,               0.000892
                     94,                0.12348,                0.78013,                0.89005,                0.95937,                0.99605,                  0.995,                0.98912,                0.22963,                0.71129,                0.35911,               0.000793,               0.000793,               0.000793
                     95,                0.11771,                0.78158,                 0.9139,                0.96376,                      1,                  0.995,                  0.993,                0.22745,                0.70146,                0.35772,               0.000694,               0.000694,               0.000694
                     96,                0.10149,                0.66301,                0.89426,                0.96823,                      1,                  0.995,                  0.993,                0.22918,                0.70007,                0.36004,               0.000595,               0.000595,               0.000595
                     97,                0.11953,                0.95041,                 0.9268,                0.97114,                      1,                  0.995,                  0.993,                0.22888,                0.70193,                0.35916,               0.000496,               0.000496,               0.000496
                     98,                0.10383,                0.70925,                0.91642,                0.97219,                      1,                  0.995,                  0.993,                0.22598,                0.70339,                0.35602,               0.000397,               0.000397,               0.000397
                     99,                0.10284,                0.63622,                 0.8729,                  0.976,                      1,                  0.995,                0.98833,                0.22879,                0.71031,                0.35745,               0.000298,               0.000298,               0.000298
